deal_id,state,product_type,seller_channel,partnership,sourcing_vendor,closing_vendor,broker,deal_status,purchase_date,sold_date,purchase_year,holding_period_months,days_on_market,contract_price,purchase_price,rehab_and_interest,total_cost,loan_amount,total_cash_required,sales_price,sales_closing_costs,sales_closing_pct,sales_proceeds,actual_profit,unleveraged_irr,leveraged_irr,straight_roi,annualized_roi,bpo_value,bpo_variation,profit_estimate,profit_variation,rehab_estimate,rehab_actual_broker,rehab_differential,buy_side_cost_estimate,total_cost_estimate,total_cost_actual_w_rehab,debt_service,under_contract_flag,listed_flag,burden_profit,unleveraged_irr_raw,leveraged_irr_raw,profit_margin_pct
DEAL-001,CA,CONDO,TRUSTEE SALE,Partner_08,Vendor_18,Vendor_26,Broker_02,Sold,2009-04-03,2012-05-11,2009,37.3,1134,310500.0,303188.0,239754.0,542942.0,0.0,542942.0,580000.0,81261.0,0.061961924563854326,498739.0,-44203.0,-0.03461740314960479,,-0.08141385267671317,-0.02620463512081156,,,,,,,0.0,,0.0,239754.0,,False,False,-44323.474,-0.03461740314960479,,-0.08141385267671317
DEAL-002,CA,SFR,TRUSTEE SALE,Partner_06,Vendor_18,Vendor_33,Broker_11,Sold,2009-05-05,2009-07-01,2009,1.9,57,243115.0,243114.0,12078.861999999994,255192.862,0.0,255192.862,355000.0,29242.0,0.0823718309859155,325758.0,70565.138,3.945083069801331,,0.27651689568025617,1.7706783670753248,350000.0,1.0142857142857142,67837.0,1.040216076772263,0.0,,0.0,11048.0,11048.0,12078.861999999994,,False,False,70470.80938,3.945083069801331,,0.27651689568025617
DEAL-003,CA,CONDO,TRUSTEE SALE,Partner_06,Vendor_18,Vendor_27,Broker_27,Sold,2009-11-02,2010-11-23,2009,12.7,386,276800.0,276800.0,42489.84,319289.83999999997,0.0,319289.83999999997,565000.0,147239.0,0.2606,417761.0,98471.16,0.31146492362022404,,0.30840680680600424,0.29162819814557395,400000.0,1.4125,64497.0,1.5267556630540955,22500.0,,22500.0,4202.0,26702.0,42489.84,,False,False,98363.7616,0.31146492362022404,,0.30840680680600424
DEAL-004,FL,COMMERCIAL,OTHER/PRIVATE,Partner_03,Vendor_11,Vendor_01,Broker_02,Sold,2010-07-29,2011-04-25,2010,8.9,270,25000.0,25000.0,79593.59999999998,104593.59999999998,0.0,104593.59999999998,312708.6,13604.0,0.0435037603698779,299104.6,194511.0,7.594161462783813,,1.8596835752856775,2.514016685108416,150000.0,2.084724,85365.0,2.2785802143735725,25000.0,25000.0,0.0,864.0,25864.0,79593.59999999998,,False,False,194501.3,7.594161462783813,,1.8596835752856775
DEAL-005,AZ,COMMERCIAL,OTHER/PRIVATE,Partner_13,Vendor_11,Vendor_14,Broker_20,Sold,2010-09-30,2012-07-31,2010,22.0,670,151545.0,165548.0,32535.945999999996,198083.946,0.0,198083.946,394759.0,70014.0,0.1773588442568757,324745.0,126661.054,0.3373318493366242,,0.6394311934799602,0.34834684420923206,300000.0,1.3158633333333334,114301.0,1.1081360093087549,0.0,0.0,0.0,7212.0,7212.0,32535.945999999996,1000.0,False,False,126602.25454000001,0.3373318493366242,,0.6394311934799602
DEAL-006,AZ,COMMERCIAL,OTHER/PRIVATE,Partner_13,Vendor_11,Vendor_14,Broker_20,Listed,2010-09-30,2013-04-02,2010,30.1,915,87000.0,87000.0,3375.600000000006,90375.6,0.0,90375.6,210000.0,14717.0,0.07008095238095238,195283.0,104907.4,0.36642543673515326,,1.1607933999884923,0.4630487333287428,,,,,,,,,,3375.600000000006,,False,True,104873.644,0.36642543673515326,,1.1607933999884923
DEAL-007,NV,SFR,AUCTION,Partner_03,Vendor_01,Vendor_08,Broker_01,Sold,2010-12-07,2011-03-24,2010,3.5,107,55125.0,57108.0,13959.849999999999,71067.85,0.0,71067.85,96933.0,8201.0,0.08460483014040626,88732.0,17664.15,1.3038599371910098,,0.24855331911687212,0.8478687988566198,86000.0,1.1271279069767441,12659.0,1.3953827316533693,7500.0,,7500.0,2911.0,10411.0,13959.849999999999,,False,False,17642.7615,1.3038599371910098,,0.24855331911687212
DEAL-008,CA,SFR,AUCTION,Partner_02,Vendor_01,Vendor_10,Broker_09,Sold,2010-12-27,2011-07-08,2010,6.3,193,85050.0,86340.0,5483.9400000000005,91823.94,0.0,91823.94,102000.0,9135.0,0.08955882352941176,92865.0,1041.06,0.022214964032173153,,0.011337566216391934,0.021441511238254177,103000.0,0.9902912621359223,16544.0,0.0629267408123791,0.0,,0.0,4206.0,4206.0,5483.9400000000005,,False,False,1008.0605999999999,0.022214964032173153,,0.011337566216391934
DEAL-009,NV,SFR,AUCTION,Partner_03,Vendor_01,Vendor_01,Broker_01,Sold,2010-12-30,2011-02-09,2010,1.3,41,102375.0,104582.0,20796.15,125378.15,0.0,125378.15,148840.0,10507.0,0.07059258263907552,138333.0,12954.85,1.587357819080353,,0.10332621752673812,0.9198553511526687,145000.0,1.0264827586206897,20062.0,0.6457407038181637,4000.0,,4000.0,1885.0,5885.0,20796.15,,False,False,12915.1285,1.587357819080353,,0.10332621752673812
DEAL-010,CA,SFR,AUCTION,Partner_02,Vendor_01,Vendor_10,Broker_11,Sold,2011-01-03,2011-02-07,2011,1.1,35,87150.0,88456.0,4061.4199999999983,92517.42,0.0,92517.42,120847.0,9273.0,0.07673339015449288,111574.0,19056.58,6.343806123733519,,0.2059782903587238,2.1480593137409767,120000.0,1.0070583333333334,18953.0,1.0054650978736877,0.0,,0.0,4297.0,4297.0,4061.4199999999983,,False,False,19022.7658,6.343806123733519,,0.2059782903587238
DEAL-011,NV,CONDO,AUCTION,Partner_03,Vendor_01,Vendor_01,Broker_01,Sold,2011-01-07,2011-04-25,2011,3.5,108,50000.0,50980.0,3605.0,54585.0,0.0,54585.0,73231.0,6100.0,0.08329805683385451,67131.0,12546.0,1.0583115220069885,,0.22984336356141796,0.7767854416659032,70000.0,1.0461571428571428,7012.0,1.789218482601255,0.0,,0.0,2689.0,2689.0,3605.0,,False,False,12526.6,1.0583115220069885,,0.22984336356141796
DEAL-012,NV,LUXURY,AUCTION,Partner_18,Vendor_19,Vendor_01,Broker_14,Sold,2011-02-07,2017-02-10,2011,72.1,2195,609000.0,642851.0,495686.0,1138537.0,556908.5,581628.5,986900.0,65895.0,0.06676968284527307,921005.0,-217532.0,,-0.1293770134449005,-0.1910627410439889,-0.03177125306654029,,,,,,,,,,495686.0,,False,False,-217768.292,,-0.1293770134449005,-0.1910627410439889
DEAL-013,NV,SFR,AUCTION,Partner_02,Vendor_01,Vendor_04,Broker_01,Sold,2011-02-08,2011-03-16,2011,1.2,36,55125.0,56734.0,3010.8500000000004,59744.85,0.0,59744.85,66691.0,1430.0,0.02144217360663358,65261.0,5516.15,1.5043347001075746,,0.0923284601099509,0.9361079983370022,73000.0,0.9135753424657534,6934.0,0.7955220651860397,0.0,,0.0,2911.0,2911.0,3010.8500000000004,,False,False,5494.7615,1.5043347001075746,,0.0923284601099509
DEAL-014,NV,SFR,AUCTION,Partner_02,Vendor_02,Vendor_15,Broker_01,Sold,2011-03-01,2011-05-20,2011,2.6,80,102000.0,108712.0,5105.6,113817.6,0.0,113817.6,142219.0,12201.0,0.08579022493478368,130018.0,16200.4,0.860109269618988,,0.14233651034637876,0.6494103284553531,144000.0,0.9876319444444445,21123.0,0.7669554514036832,0.0,,0.0,4940.0,4940.0,5105.6,,False,False,16160.824,0.860109269618988,,0.14233651034637876
